system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,built,crop,mangrove,natBare,natForest,natShortVeg,natWater,nonNatBare,nonNatPeatShortVeg,nonNatPeatTree,nonNatShortVeg,nonNatTree,nonNatWater,nonNatWetShortVeg,nonNatWetTree,peatNatForest,peatNatShortVeg,snow,wetNatForest,wetNatShortVeg
0000000000000000000a,2,6208.0,Indonesia,indonesia,Regency,1,31611,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31612,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,3.305603802204132,0.0,0.0,0.0,3069.6919575482607,2.690248467028141,0.0,0.0,0.0,39.43751458823681,0.0,1976.5255716219544,0.0,0.0,0.0,627.9048129618168,1.2295890897512436,0.0,0.0,0.5381239727139473
0000000000000000000b,2,6208.0,Indonesia,indonesia,Regency,1,31612,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31613,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,1831.1555121988056,1086.482469804585,0.0,725.1693243980408,81439.23231768608,59300.070854716,14124.741585865617,0.0,0.0,23377.964606821537,0.0,297229.4499129653,0.0,0.0,0.0,60427.13537237793,60564.26761960238,0.0,0.0,28134.526838220656
0000000000000000000c,2,6208.0,Indonesia,indonesia,Regency,1,31971,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31972,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,197.12902433425188,314.11120976507664,0.0,177.44043762981892,319909.34660194814,16142.504978120329,588.3442698419094,0.0,0.0,0.0,0.0,3.691099978983402,0.0,0.0,0.0,3623.308228641749,318.80160101503134,0.0,0.0,2.3843086287379265
0000000000000000000d,2,6208.0,Indonesia,indonesia,Regency,1,31972,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31973,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,91.74025227874516,0.0,0.0,264.3931606560945,157359.93975780904,13166.484108112752,516.4928933903575,0.0,0.0,4.843951337039471,0.0,3805.417285017669,0.0,0.0,0.0,1854.705912165344,299.98152094334364,0.0,0.0,52.0533409267664
0000000000000000000e,2,6208.0,Indonesia,indonesia,Regency,1,32331,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,32332,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,44.53707728534937,1.461503028869629,0.0,38.22978666424751,46703.64264822006,1232.888978563249,6.769023835659027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.2880103811622,13.153428010642529,0.0,0.0,0.0769206136465072
0000000000000000000f,2,6208.0,Indonesia,indonesia,Regency,1,32332,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,32333,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,47.07696615159512,0.9231036305427552,0.0,47.53889525681734,44927.17021717876,3348.455225303769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.3799140527845,15.846040397882462,0.0,0.0,0.3077002987265587
00000000000000000010,2,,Peru,peru,Province,2,27469,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27470,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,3513.546621344984,3748.634140893817,0.0,2627.595137320459,61624.30749095231,0.0,946.5146765485406,0.0,1.4998982027173042,0.0,210.96076820790768,0.0,0.0,0.0,0.0,3901.488637588918,111.66422965377568,0.0,4480.733694255352,506.5415997430682
00000000000000000011,2,,Peru,peru,Province,2,27470,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27471,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,2225.3236464336514,3979.158676192165,0.0,3223.526520125568,189638.5080270916,0.0,3815.2164772301912,0.0,0.0,0.0,3.675242200493813,0.0,0.0,0.0,0.0,60581.02639807761,519.2288513109088,0.0,28655.97664374858,1197.0362402647734
00000000000000000012,2,,Peru,peru,Province,2,27471,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27472,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,0.0,0.0,0.0,0.6750936061143875,1374.8943591937425,0.0,4.650468446314335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.5964258760214,118.5115266740322,0.0,1019.640421167016,69.83149489760399
00000000000000000013,2,,Peru,peru,Province,2,27829,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27830,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,8861.745923869312,11283.559898845851,0.0,3017.394571512937,269757.081602335,0.0,7638.319084197283,0.0,1.350869059562683,0.0,65.0705949217081,0.0,0.0,0.0,0.0,25189.336983576417,781.7794952169061,0.0,23424.822688288987,706.2487211227417
00000000000000000014,2,,Peru,peru,Province,2,27830,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27831,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,20008.75605840236,85210.22118739039,0.0,3559.647643327713,808836.8981302008,0.0,25079.380650281902,0.0,21.63995709270239,0.0,6916.480349771678,0.0,0.0,0.0,0.0,81150.42318627983,3742.4062098041177,0.0,162680.23750317097,5262.865660019219
00000000000000000015,2,,Peru,peru,Province,2,27831,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,27832,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,13.753910854458807,1575.894830994308,0.0,218.2162733599544,164546.14401458204,0.9756812155246736,5228.917163163424,0.0750677362084388,6.378197617828846,0.0,80.19784617424011,0.0,0.0,0.0,0.0,19202.46728377044,2767.496146656573,0.0,60255.72263650596,5861.783768601716
00000000000000000016,2,,Peru,peru,Province,2,28187,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,28188,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,0.0,0.6042979136109352,0.0,0.3775659129023552,62463.38889068365,0.0,27.03801372647285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.89148501306772,0.0,0.0,1806.0960885435345,0.0
00000000000000000017,2,,Peru,peru,Province,2,28188,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,28189,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,0.0,135.15193992108107,0.0,407.2813990414143,453410.84171370417,0.0,1808.3484060391784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9618.271947816014,0.0,0.0,31032.08716287464,0.0
00000000000000000018,2,,Peru,peru,Province,2,28189,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,28190,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,0.6785708293318748,578.7295395210385,0.0,1337.2528167366982,542768.6022335887,0.0,4990.415225051343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16667.527429930866,0.0,0.0,67579.22640813887,0.0
00000000000000000019,2,,Peru,peru,Province,2,28190,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,28191,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,70.94475335627794,4009.135524958372,0.0,48.28308644145727,178234.14062282443,0.0,548.727353990078,0.0,0.1506415903568267,0.0,555.1649124547839,0.0,0.0,0.0,0.0,3898.4017657488585,25.081295661628246,0.0,8923.913774259388,35.69744157791138
0000000000000000001a,2,,Peru,peru,Province,2,28191,PER,PER.18_1,PER.18.3_1,PE.MD.TP,False,28192,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,,,medium,Provincia,,0.0,278.92984092235565,0.0,0.4518323689699173,4530.269237436354,0.0,22.971906945109367,0.0,0.0,0.0,73.87146309018135,0.0,0.0,0.0,0.0,264.809762775898,0.3765675649046898,0.0,537.4453309103847,2.711168348789215
0000000000000000001b,1,,Malaysia,malaysia,,3,34135,MYS,MYS.13_1,,,False,34136,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,5486.552730254829,11967.34957986325,84.3891980946064,235.1550424695015,280005.3477281481,1111.497011616826,349.65818836539984,20.626704655587677,17.325331017374992,129.5561523810029,1033.9947054982183,35744.009781591594,0.0,13.185028962790966,61.01852694898844,5642.413287468255,184.91633125394583,0.0,589.8494132459164,45.840610451996326
0000000000000000001c,1,,Malaysia,malaysia,,3,34136,MYS,MYS.13_1,,,False,34137,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,7948.807312965393,9848.92927827686,0.0,468.7618800923228,750774.8969062641,4265.734654977918,592.8905349969864,109.03497054427862,15.948415890336037,59.04829651862383,1275.548441015184,20414.454752340916,0.0,11.882897764444351,43.31229417771101,6343.709022797644,184.2100772634149,0.0,524.8944171071053,122.92734995484352
0000000000000000001d,1,,Malaysia,malaysia,,3,34137,MYS,MYS.13_1,,,False,34138,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,24483.65247569233,125412.61586551368,34450.22677940875,1484.6159346625209,518911.7498189733,6882.417469166219,2339.809071868658,208.30184710025787,172.81679244339466,750.5792694017291,12969.250008687375,147104.95512337238,4.297098197042942,208.0080158561468,736.4686772823334,5017.220724239945,406.8145927861333,0.0,951.8444255068898,158.98152191191912
0000000000000000001e,1,,Malaysia,malaysia,,3,34138,MYS,MYS.13_1,,,False,34139,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,20975.01904619485,160035.20300986618,20934.557398192585,939.2525950297712,80341.05677553266,794.7218936830759,6971.139672875404,35.20569509267807,362.099053196609,1363.1569874361155,6317.971937961876,52795.812665343285,0.0,238.3180673494935,1373.4497882947326,3003.813077367842,911.4067081287504,0.0,2359.044685013592,446.4415831416845
0000000000000000001f,1,,Malaysia,malaysia,,3,34139,MYS,MYS.13_1,,,False,34140,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,0.0,0.0,0.0,7.591050378978252,0.1533576026558876,10.121502339839935,15.795407384634018,0.4600985497236252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367521420121193,2.4537004828453064,0.0,0.1533576548099517,6.824491664767265
00000000000000000020,1,,Malaysia,malaysia,,3,34495,MYS,MYS.13_1,,,False,34496,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,31250.96618539095,116153.80721458793,24228.15872726589,820.1742447242141,119560.69293733686,1771.9222447797656,2615.7351395115256,45.968291848897934,614.9591806307435,2618.998187109828,1905.754982151091,57260.66546329856,0.0,174.53776098787785,1432.8239311650395,19354.68944980204,1931.038429647684,0.0,3716.8508343845606,372.9702862948179
00000000000000000021,1,,Malaysia,malaysia,,3,34496,MYS,MYS.13_1,,,False,34497,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,64131.139801867306,128505.22201871128,230.7890236526728,911.450075276196,852105.2660137266,8038.359561979771,1318.620617300272,363.2933495119214,44.81089920550585,450.4038435593248,11447.223887912927,142870.83946646005,0.0,123.17558461427689,320.0069646835327,3266.205019764602,190.97889802604917,0.0,437.4802583232522,202.94926004856825
00000000000000000022,1,,Malaysia,malaysia,,3,34497,MYS,MYS.13_1,,,False,34498,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,37878.53483232111,371715.9836122543,38103.30343607068,1185.7915391772983,556780.3366096467,730.2455557882786,6264.733799010515,11.869440734386444,2233.854164399206,5297.166823677719,19859.419451788068,112954.76223623008,0.0,1870.956149086356,6371.871077597141,16927.033026345074,1106.6045939475298,0.0,10976.72214306891,754.8030155524611
00000000000000000023,1,,Malaysia,malaysia,,3,34498,MYS,MYS.13_1,,,False,34499,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,40251.05697033554,372216.1247798279,90564.0569769442,784.8078675940633,161829.1375986189,831.8345036879182,6419.993373066187,14.632930099964142,684.6349198073149,4048.155948847532,7901.586194321513,63925.38204423338,0.0,713.860797919333,4381.954089835286,40524.07344839722,4136.594120629132,0.0,19111.388321839277,1906.3406120464208
00000000000000000024,1,,Malaysia,malaysia,,3,34499,MYS,MYS.13_1,,,False,34500,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,7274.174504086375,72437.63277185708,1500.8713421225548,365.682708658278,24.12732520699501,31.637000285089016,377.06994189322,0.6128183901309967,307.39505711197853,1204.257323399186,2166.8825156092644,11631.909326471388,0.0,428.6129376143217,2154.0727284029126,605.3054227605462,138.97132367640734,0.0,193.57637662440536,35.4724940136075
00000000000000000025,1,,Malaysia,malaysia,,3,34855,MYS,MYS.13_1,,,False,34856,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,27.00201949477196,272.77613001316786,0.0,9.791238240897655,0.305976539850235,20.117766365408897,41.00066087394953,0.0764926970005035,0.6884345784783363,0.9179268702864648,2.983236223459244,0.2294821515679359,0.0,2.906736768782139,0.3059780672192573,49.41510489583016,38.62962558865547,0.0,17.058042496442795,52.47473049163818
00000000000000000026,1,,Malaysia,malaysia,,3,34856,MYS,MYS.13_1,,,False,34857,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,53466.652442373335,104187.63979891688,13139.237541504204,1377.5528486147523,340361.3275157511,6958.862350173295,2539.625938370824,197.0288797840476,44.95924315601587,386.9740229472518,4365.154203094542,75362.45519299805,0.0,78.95561953634024,549.4072594419122,4428.20310575515,580.174244388938,0.0,3249.386541619897,557.8942912817001
00000000000000000027,1,,Malaysia,malaysia,,3,34857,MYS,MYS.13_1,,,False,34858,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,22394.645260848105,227205.4131326377,74807.08244019747,1492.5442136451602,178323.76015212387,3941.900667436421,3084.27001734823,40.1535543948412,226.69611205160615,1869.2322854921224,4385.004059813917,53265.41582860798,0.0,226.66581428050995,1898.5418651029468,18341.676259301603,1247.0624379888177,0.0,12517.162512749434,734.2126944810152
00000000000000000028,1,,Malaysia,malaysia,,3,34858,MYS,MYS.13_1,,,False,34859,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,152.48338696360588,649.2254562452435,1326.5120625123382,27.2335038036108,26.85442325472832,19.738313928246495,142.8342255204916,2.983239933848381,37.63625095039606,41.543048620224,12.851687297224998,27.465799413621426,0.0,3.3661260679364204,5.279564566910267,40.322020061314106,71.99309512972832,0.0,8.951590023934841,13.617910616099834
00000000000000000029,1,,Malaysia,malaysia,,3,35216,MYS,MYS.13_1,,,False,35217,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,673.592764005065,3939.341797105968,1083.202128984034,213.8822582066059,2180.753490880132,565.7482861578465,287.71970228105783,33.58541019260883,34.806129686534405,13.740818202495577,89.84129724651575,329.9858004152775,0.0,22.974350556731224,58.64183830469847,109.5392559543252,283.6395792886615,0.0,630.0421536192298,272.9470115751028
0000000000000000002a,1,,Malaysia,malaysia,,3,35217,MYS,MYS.13_1,,,False,35218,2,Malaysia,malaysia,Sabah,sabah,,,,,medium,,,2595.241841576993,22260.04184277356,9634.975445389748,218.53657910227776,14399.325593434274,296.1254678443074,788.9855855256319,10.76355753093958,59.22644690424204,54.27418829500675,759.5526750460267,401.318173982203,0.0,23.96671716868877,60.76314263045788,745.8158631250262,426.44323974847794,0.0,1115.3541758060455,95.71806631982328
0000000000000000002b,1,,Suriname,suriname,,4,32883,SUR,SUR.9_1,,,False,32884,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,0.0,0.0,0.0,0.0,44325.23710874468,18177.223629564047,0.0,15.45498152822256,0.0,0.0,4.69042794406414,0.0,0.0,0.0,0.0,504.687677256763,20.22157324105501,0.0,4.9207823276519775,1641.362587578595
0000000000000000002c,1,,Suriname,suriname,,4,32884,SUR,SUR.9_1,,,False,32885,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,30.986382193863392,0.0,0.0,5.76679702103138,227.75061905384064,14607.629344016314,2.0760229751467705,87.8057229295373,0.0,0.0,17.838704951107502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.7224711254239
0000000000000000002d,1,,Suriname,suriname,,4,33242,SUR,SUR.9_1,,,False,33243,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,0.0,0.0,0.0,0.0,68476.52879115939,0.0,1148.9482644945383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0185695067048,0.0,0.0,411.4224739894271,0.0
0000000000000000002e,1,,Suriname,suriname,,4,33243,SUR,SUR.9_1,,,False,33244,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,90.09266094118357,0.0,0.0,0.0,1055232.887973331,13921.922787062824,1121.7341109067202,287.91154826432467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15894.20522263646,89.49333073198795,0.0,14959.435457840562,2067.121045306325
0000000000000000002f,1,,Suriname,suriname,,4,33244,SUR,SUR.9_1,,,False,33245,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,0.3841539695858955,0.0,0.0,0.0,626103.2049748674,7591.132965914905,487.1437785699964,1212.821971386671,0.0,0.0,8.841382555663586,0.0,0.0,0.0,0.0,9693.50541113317,1.2294409722089767,0.0,3426.9565736725926,1024.2266652733088
00000000000000000030,1,,Suriname,suriname,,4,33245,SUR,SUR.9_1,,,False,33246,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,0.0,0.0,0.0,0.0,513378.5179357156,24.442961372435093,823.199996881187,878.9307946562767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9142.58309110254,7.300039432942867,0.0,1710.755161203444,41.348862908780575
00000000000000000031,1,,Suriname,suriname,,4,33601,SUR,SUR.9_1,,,False,33602,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,0.0,0.0,0.0,0.0,899.6914410591125,0.3837538883090019,671.8784569352865,6.754033647477627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.86626305431128,4.758503653109074,0.0,1458.3607102110982,0.9210068732500076
00000000000000000032,1,,Suriname,suriname,,4,33602,SUR,SUR.9_1,,,False,33603,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,4.837713919579983,0.0,0.0,0.0,715010.7286369205,8.21720091253519,11665.66688542068,74.09471140056849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11403.836647376418,22.269134879112244,0.0,26599.75631824881,21.267161704599857
00000000000000000033,1,,Suriname,suriname,,4,33603,SUR,SUR.9_1,,,False,33604,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,1.0747936218976974,0.0,0.0,0.0,1186842.0961798355,146.835303299129,752.6979385912418,1108.3830644190311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23336.93860024959,66.20882691442966,0.0,16062.312379047276,340.8952453359961
00000000000000000034,1,,Suriname,suriname,,4,33604,SUR,SUR.9_1,,,False,33605,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,65.72176449745893,0.0,0.0,0.0,1193635.9314116985,43.61875014007092,4528.650396645069,1622.321758069098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20862.695334650576,30.635085605084896,0.0,7746.749106429517,121.11872357875107
00000000000000000035,1,,Suriname,suriname,,4,33605,SUR,SUR.9_1,,,False,33606,2,Suriname,suriname,Sipaliwini,sipaliwini,,,,,small,,,6918.028955899179,48.75979387760162,0.0,0.0,1033824.890845798,74.79982516169548,8642.822773754597,236.97966136038303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17546.601847320795,74.4097790941596,0.0,12657.40724720806,99.51776730269194
