system:index,2015_bare_sparse,2015_built,2015_cropland,2015_cultivatedGrasslands,2015_shortVeg,2015_snowIce,2015_treeCover,2015_water,2015_wetlandShortVeg,2018_bare_sparse,2018_built,2018_cropland,2018_cultivatedGrasslands,2018_shortVeg,2018_snowIce,2018_treeCover,2018_water,2018_wetlandShortVeg,2021_bare_sparse,2021_built,2021_cropland,2021_cultivatedGrasslands,2021_shortVeg,2021_snowIce,2021_treeCover,2021_water,2021_wetlandShortVeg,2024_bare_sparse,2024_built,2024_cropland,2024_cultivatedGrasslands,2024_shortVeg,2024_snowIce,2024_treeCover,2024_water,2024_wetlandShortVeg,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,bare_from_crop,bare_from_cultivated,bare_from_ice,bare_from_shortVeg,bare_from_tree,bare_from_water,bare_from_wetVeg,bare_stable,built_from_bare,built_from_crop,built_from_cultivated,built_from_ice,built_from_shortVeg,built_from_tree,built_from_water,built_from_wetVeg,built_stable,crop_from_bare,crop_from_cultivated,crop_from_ice,crop_from_shortVeg,crop_from_tree,crop_from_water,crop_from_wetVeg,crop_stable,cultivated_from_bare,cultivated_from_cropland,cultivated_from_ice,cultivated_from_shortVeg,cultivated_from_tree,cultivated_from_water,cultivated_from_wetVeg,cultivated_stable,ice_from_bare,ice_from_crop,ice_from_cultivated,ice_from_shortVeg,ice_from_tree,ice_from_water,ice_from_wetVeg,ice_stable,shortVeg_from_bare,shortVeg_from_crop,shortVeg_from_cultivated,shortVeg_from_ice,shortVeg_from_tree,shortVeg_from_water,shortVeg_stable,tree_from_bare,tree_from_crop,tree_from_cultivated,tree_from_ice,tree_from_shortVeg,tree_from_water,tree_from_wetVeg,tree_stable,water_from_bare,water_from_crop,water_from_cultivated,water_from_ice,water_from_shortVeg,water_from_tree,water_from_wetVeg,water_stable,wetVeg_from_bare,wetVeg_from_crop,wetVeg_from_cultivated,wetVeg_from_ice,wetVeg_from_tree,wetVeg_from_water,wetVeg_stable
00000000000000000000,0.0,0.0,0.0,0.0,11.230724692344666,0.0,21982.627138458192,0.0,0.0,0.0,0.0,0.0,0.0,1.9999629482626915,0.0,21991.857900202274,0.0,0.0,0.0,0.0,0.0,0.0,1.6153777837753296,0.0,21992.24248536676,0.0,0.0,0.0,0.0,0.0,0.0,3.230692945420742,0.0,21990.62717020512,0.0,0.0,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32607,COD,COD.6_1,COD.6.10_1,,False,32608,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2307162433862686,0.0,0.0,0.0,0.0,0.0,0.0,11.230724692344666,0.0,0.0,21980.39642221481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00000000000000000001,43.00011455267668,27.923807568848133,0.1538554430007934,0.0,675.2518359944224,0.0,471652.5223684013,749.7669599875808,73.61572244018316,42.61550843715668,27.923807568848133,0.1538554430007934,0.0,1603.8972257524729,0.0,470729.8767539188,750.9977136328816,66.76979963481426,43.7693892121315,49.8475588709116,0.1538554430007934,0.0,1735.8217130377889,0.0,470561.2595382556,750.766950674355,80.61565889418125,41.076934941113,52.00137827545405,1.3077712431550026,0.0,7550.263970829546,0.0,464645.2795042172,765.9977770075202,166.30732787400484,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32608,COD,COD.6_1,COD.6.10_1,,False,32609,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,0.3846311867237091,0.0769229903817176,0.0,0.7692370489239693,40.38464502990246,0.0,0.0,0.0,0.0,2.076994337141514,19.84675696492195,0.0,0.0,27.923807568848133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538554430007934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46159790456295,0.0,0.0,0.0,4040.508568584919,0.0,196.08285073190928,0.0,0.0,0.0,0.0,476.2458223327994,0.0,13.153605975210668,467545.55217640847,0.0,0.0,0.0,0.0,0.4615374058485031,0.3846131786704063,0.6922949627041817,749.7669599875808,1.1538716182112694,0.0,0.0,0.0,46.15333027392626,0.0,59.000584453344345
00000000000000000002,66.53824950754642,1600.4107027426362,2.38460323959589,0.0,6395.61725769192,0.0,158883.0505360216,194.5377296358347,110.84873854368924,69.99980459362268,1725.4119923859837,2.153825379908085,0.0,11419.675675742328,0.0,153675.6052312255,194.69158387184143,165.8497041836381,75.99983562529087,2142.7252852469683,1.4615246579051018,0.0769250690937042,8330.03558985889,0.0,156332.08555992693,194.61466613411903,176.38843086361885,66.92311285436153,2471.187540240586,0.4615499973297119,0.0769271105527877,17788.43291887641,0.0,146503.60981295258,195.4608595520258,227.23509579896927,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32609,COD,COD.6_1,COD.6.10_1,,False,32610,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,3.692342661321163,0.7692488953471184,0.0769208222627639,3.461549445986748,63.69215479493141,0.0,1.000003844499588,0.0,0.0,160.54027915745974,478.8518901690841,0.0,0.0,1600.4107027426362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.384599395096302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307298630475998,0.0,0.0,0.0,11717.61817791313,0.0769208222627639,948.7075328081846,0.4615552872419357,0.0,0.0,0.0,5282.3693952560425,0.0,12.53877267241478,146586.88628010452,0.0,0.0,0.0,0.0,0.3077078089118004,0.1538470014929771,0.0,194.3838879913092,1.1538095623254776,0.0,0.0,0.0,98.7710919380188,0.0,94.84841642528772
00000000000000000003,44.761842645704746,1185.17739059031,0.0,0.461388386785984,2182.1483631059527,0.0,308622.32556937635,1117.499829903245,33.069129914045334,44.22345783561468,1322.3003478720784,0.0,1.1535503566265106,3696.0678488388658,0.0,306961.74682700634,1119.7300090566278,40.22147295624018,45.146374844014645,1673.2084136456251,0.0,0.7690247222781181,3409.19663053751,0.0,306884.63555778563,1121.344781666994,51.142730720341206,70.06520195305347,3081.151352599263,0.3075895756483078,4.383160553872585,10447.752002589405,0.0,298057.0775404647,1182.4056521058085,342.30101408064365,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32967,COD,COD.6_1,COD.6.10_1,,False,32968,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,0.6152161657810211,10.152388542890549,0.0,0.8459853231906891,44.06965198367834,0.1538228914141655,0.0,0.0768980309367179,0.0,268.5457036793232,555.0973454415798,0.9998493790626526,0.0,1185.17739059031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765864923596382,1.7686334177851677,0.0,0.0,0.2306942492723465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076466619968414,0.0,0.1537961065769195,0.0,7317.03918723017,0.0769014135003089,626.7531476691365,0.0,0.0,0.0,0.0,1278.6978913620114,0.0,3.7682603001594543,300516.4005573988,0.0768981203436851,0.0,0.0,0.0,6.459817737340927,22.22475814074278,2.768434129655361,1116.1923459991813,0.1538229882717132,0.0,0.0,0.0,199.64269920438528,0.23073311150074,25.68645016103983
00000000000000000004,439.87828385829926,1198.9204257503152,0.0,0.1538180857896804,2376.074061006308,0.0,1133054.8977232948,4339.460075676441,252.278930939734,435.4170404747129,1457.8046300262213,0.0,0.2307271286845207,3037.048021875322,0.0,1132092.2773854062,4339.767686799169,299.11782690137625,457.7989097461104,1885.127567753196,0.153828278183937,0.0,3922.597333148122,0.0,1130647.1136275977,4349.612382605672,399.259669482708,467.41225284338,2790.592335477472,47.45568138360977,0.6152720004320145,9762.102779276667,0.0,1123629.7223394513,4439.750832870603,524.0118253082037,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32968,COD,COD.6_1,COD.6.10_1,,False,32969,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,3.999580562114716,23.53517683595419,0.3076474070549011,3.922655038535595,423.64909023046494,0.0,0.0,0.1538180857896804,0.0,98.8283054754138,974.4735752269626,0.3076473772525787,1.23053777217865,1198.9204257503152,0.0,0.0,0.0,0.0,13.2296591848135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076908953487873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.768854193389416,0.0,0.0,0.0,5484.23736795783,0.0,836.1855868846178,0.0,0.0,0.0,0.0,1433.9074096307158,0.0,8.844645738601685,1126256.9999437258,0.6921799927949905,0.0,0.0,0.0,3.1531784534454346,43.76407241076231,1.7688822373747826,4338.537128545344,11.768159441649914,0.0,0.0,0.0,258.58101899921894,0.3076523467898369,236.51221015304327
00000000000000000005,254.28006543964148,2253.1584618091583,0.1538189277052879,0.8459643423557281,10020.095162965355,0.0,825079.2830552235,980.5462819486856,186.57910864800212,245.2811745032668,2453.4334889128804,0.0769094601273536,4.460416093468666,16141.92178132385,0.0,818731.9560649097,986.1599976494908,211.65208645164967,271.4313353225589,3049.812262699008,0.7691531479358673,0.8459322154521942,18970.843593776222,0.0,815262.2745558098,995.1587619110942,223.80632442235947,250.51061113923788,4578.4512143060565,5.461172483861446,1.0767126753926275,25923.822499468923,0.0,806750.1221391112,1006.0035330280662,259.494037091732,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32969,COD,COD.6_1,COD.6.10_1,,False,32970,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,3.38412494212389,3.999734878540039,0.0,10.074890710413456,235.3588660731912,0.0,0.0769094675779342,0.0,0.0,275.34371357411146,941.8736162185668,0.0769180506467819,0.0769180506467819,2253.1584618091583,0.0,0.0,0.0,0.0,0.9229915961623192,0.0,0.0,0.0769094601273536,0.0,0.0,0.0,1.0767125338315964,0.076917178928852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.999229080975056,0.0,0.8459643423557281,0.0,9274.936644650996,0.0,4596.573736153543,0.4614925384521484,0.0,0.0,0.0,5140.871569938958,0.0768970549106597,12.612873166799544,814788.4810277745,0.2306941151618957,0.0,0.0,0.0,2.845305822789669,16.843910552561283,1.7686862424016,980.1617664545774,9.22978363186121,0.0,0.0,0.0,52.14821237325668,0.2307003885507583,162.04574047774076
00000000000000000006,0.0,34.97933329641819,0.0,0.0,1739.733343243599,0.0,237901.5704992041,0.0,0.07688520103693,0.0,34.97933329641819,0.0,0.0,1836.4558358863,0.0,237804.46363750845,0.0,0.4612542539834976,0.0,35.056217551231384,0.0,0.0,1782.6364163160324,0.0,237858.5905477777,0.0,0.0768793001770973,0.0,35.056217551231384,0.0,0.0,1930.091233290732,0.0,237709.6751638651,0.0,1.5374462381005287,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33328,COD,COD.6_1,COD.6.10_1,,False,33329,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768842548131942,0.0,0.0,34.97933329641819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.8057787641883,0.0,1609.4300223141909,0.0,0.0,0.0,0.0,130.30332092940807,0.0,0.07688520103693,237695.53408568352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1537505015730857,0.0,0.0
00000000000000000007,0.0,0.0,0.0,0.0,4073.771700948477,0.0,358001.0879664272,0.2306502386927604,0.3844281882047653,0.0,0.0,0.0,0.0,4092.144528120756,0.0,357982.8689060062,0.0768834874033927,0.3844281882047653,0.0,0.7688456773757935,0.0,0.0,4061.318983271718,0.0,358012.84872245044,0.1537662148475647,0.3844281882047653,0.0,1.5376780927181244,0.0,0.0,4113.7444836348295,0.0,357959.57750564814,0.2306502386927604,0.3844281882047653,2,,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33329,COD,COD.6_1,COD.6.10_1,,False,33330,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,,,medium,Territoire,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8457196652889252,0.6919584274291992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.11579845100641,0.0,4027.6495971381664,0.0,0.0,0.0,0.0,45.27638414502144,0.0,0.0,357944.2802095488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2306502386927604,0.0,0.0,0.0,0.0,0.0,0.0,0.3844281882047653
00000000000000000008,0.9983138591051102,70.95673366636038,0.0767946690320968,185.685623280704,59.20986428111792,0.0,26352.30694115162,138.07102113217115,11513.626242212951,0.2303778454661369,78.25216196477413,0.0767946690320968,230.22594310343263,86.09551061689854,0.0,25339.31636416912,137.37806647270918,12449.356315411627,2.687970794737339,125.6334077566862,2.7645482644438744,211.1812533289194,51.37893632799387,0.0,25470.28865282237,216.3295808061957,12240.667184151707,6.604187123477459,129.93399215489626,0.0,231.3784659281373,52.22393620759249,0.0,25791.983802370727,288.1375889405608,11820.66956152767,2,6208.0,Indonesia,indonesia,Regency,1,31251,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31252,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,0.0,0.0,0.0,0.0,0.0767887234687805,0.0,3.455840617418289,0.0767944529652595,0.0,0.0767946690320968,16.97120651602745,0.0,7.372193284332752,6.834641218185425,0.1535790413618087,24.72735145688057,70.95673366636038,0.0,0.0,0.0,0.0,0.9983034953474998,0.0,0.4607553035020828,0.0,0.0,0.0,0.0,6.91150526702404,3.1491086706519127,0.0,73.72153955698013,140.76183938235044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1535851657390594,0.0,1.6126739531755447,0.0,15.361863791942596,0.0,36.09443715214729,0.0,0.0,0.0,0.0,8.44770983606577,0.0,1260.99155793339,24101.4650073126,0.3071709275245666,0.0,0.0767948031425476,0.0,0.3840187415480613,9.292916037142277,134.47767344117165,124.55365777015686,0.4607633128762245,0.0,26.263108626008037,0.0,2215.1283119022846,13.363784320652483,10015.791523903608
00000000000000000009,60.063147976994514,2994.069726653397,505.69199584424496,16721.381794780493,9826.76773031056,0.0,244773.55874409527,4794.001322001219,95293.089334853,17.972454719245434,3716.021294981241,662.6098094284534,18983.09539888054,9431.047605663538,0.0,235701.2439843565,5289.2130901739,101167.34335635602,146.63163424283266,6383.505161166191,1513.0644088983536,20238.77038831264,9067.653831087053,0.0,240589.0533472076,6473.342894606292,90556.5253290385,203.85706731677053,8709.667743839324,1586.3417036384344,20994.03357786685,9546.905718117952,0.0,239047.3406375572,6787.406322598457,88092.99422362447,2,6208.0,Indonesia,indonesia,Regency,1,31252,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,False,31253,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,,,medium,Kabupaten,,0.1536044403910637,0.0767966583371162,0.0,27.657045528292656,2.9186298325657845,4.684858791530132,131.80830536782742,9.52441207319498,0.2304288744926452,15.130486898124218,763.7060880064964,0.0,373.4948704019189,1773.0332084670663,14.208966091275215,1271.2056112512946,2994.069726653397,0.0,564.5900525599718,0.0,0.0768047496676445,65.97598446905613,1.2290271520614624,468.2002240419388,427.0435038730502,0.0,12.596594616770744,0.0,342.29502288252115,1924.0714670568705,2.227711282670498,6482.891236722469,12280.609906844797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05913570523262,0.0,129.8932989910245,0.0,989.2272570058705,0.0,7894.73040933162,0.3072808012366295,3.379269577562809,528.411329716444,0.0,1185.9021008461714,5.683548040688038,13769.518079034984,225624.64141199735,4.378307960927486,12.519180357456207,17.745816193521023,0.0,2.611476570367813,451.9195092171431,1701.815587297082,4580.604893215001,34.56358256191015,34.8693560808897,2436.348505809903,0.0,13941.694474093616,185.3623174279928,71467.6502911374
