system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,.geo
0000000000000000000a,2,6208,Indonesia,indonesia,Regency,1,31611,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31612,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,2,6208,Indonesia,indonesia,Regency,1,31612,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31613,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,19627.294227205217,19716.6557514295,19864.027922935784,20321.521499097347,20818.728111684322,21635.113058410585,23706.99910389632,25344.392171010375,25136.19154191017,23235.187507629395,21338.765182964504,19693.82474063337,18686.413311690092,18823.447585314512,19679.140915870667,20331.889293320477,21965.23538851738,23717.587350159883,24239.194956965744,23818.652455493808,23610.955984540284,23579.770005263388,24432.843225307763,28059.014560587704,29613.77559953928,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,2,6208,Indonesia,indonesia,Regency,1,31971,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31972,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,347.4316314384341,320.66417072713375,307.8181937932968,316.739258877933,308.50876259058714,315.8914629369974,313.73758371919394,310.6609054431319,307.43084559589624,314.123365059495,324.4308139383793,323.662127584219,328.73904344439507,340.3532325848937,349.7363589927554,342.96697756648064,317.2767081707716,304.04693829268217,292.20155216008425,267.35768050700426,243.8211434930563,219.05386554449797,203.28594345599413,210.3620721399784,230.0520301014185,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,2,6208,Indonesia,indonesia,Regency,1,31972,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31973,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,402.1826025545597,351.9578129425645,283.3500811830163,219.66482397168875,169.43939988315105,132.28963167220354,110.98451923578978,88.4482891857624,65.68157375603914,50.2222171574831,42.91570418328047,39.531417548656464,43.68274223059416,47.3730978295207,55.755583837628365,60.13905235379934,63.13798686116934,65.98251076042652,67.13574237376451,67.36662290245295,74.59628434479237,77.13432934880257,79.74916054308414,88.74696560949087,101.28212740272284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,2,6208,Indonesia,indonesia,Regency,1,32331,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,32332,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,115.91938948631287,115.3809459656477,114.91942121088505,113.07331570982933,109.61187583953142,105.45815286040306,103.30439588427544,98.99681752920151,94.45849750190973,91.45858782529831,90.30477846413851,89.45865546166897,92.61241489648819,97.61234151571989,99.45849338173866,96.99704987555742,94.6125467941165,94.07415106892586,91.92037557810545,89.76657045632601,85.38204336166382,80.53601125627756,73.84388516098261,68.92093948274851,66.76716988533735,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,2,6208,Indonesia,indonesia,Regency,1,32332,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,32333,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,53.92369943112135,51.077522456645966,48.15438944846392,46.84662867337465,50.30807384848595,63.61560061573982,64.07729595899582,63.69295151531696,70.53931421041489,80.07794167101383,85.46265339106321,86.84728141129017,87.61649937182665,98.61649034172297,112.00097701698542,121.23180609196424,128.770247541368,134.46253875643015,128.92397787421942,115.69312317669392,102.46223697811365,89.00060769915581,79.38517520576715,79.0774239525199,79.92356627434492,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,2,NA,Peru,peru,Province,2,27469,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27470,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,2310.1327020972967,2312.381888486445,2325.3545465394855,2353.6269111409783,2369.528653457761,2379.128877684474,2395.025778762996,2436.0444398894906,2488.0848222225904,2576.8735324069858,2712.1611747592688,2888.1668516397476,2998.327113956213,3196.2157554626465,3474.933128617704,3850.888829894364,4204.8855612799525,4614.552034892142,4893.28676712513,5003.373847357929,4950.512862458825,4815.990716166794,4617.80388764292,4470.228556595743,4412.186169087887,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,2,NA,Peru,peru,Province,2,27470,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27471,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,4177.455345846713,4206.158954821527,4299.546379640698,4429.079580612481,4469.26620940119,4523.034171484411,4575.378320813179,4660.244742706418,4724.709529489279,4831.67733014375,4944.779950350523,5026.185673423111,5018.748581632972,5071.07522328198,5173.7690155133605,5416.803768537939,5797.936614848673,6174.500939868391,6387.987504027784,6478.514170177281,6323.679987095296,6035.503885239363,5736.737646788359,5483.699137754738,5381.433671176434,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,2,NA,Peru,peru,Province,2,27471,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27472,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,0.4500621110200882,0.4500621110200882,0.6750942021608353,1.275178276002407,1.425199642777443,1.425199642777443,1.275178574025631,1.0501467064023018,1.2001674845814705,1.2001674845814705,1.27517768740654,1.3501874431967735,1.5002082213759422,1.3501873761415482,1.3501873761415482,1.4251978769898415,1.5002081543207169,1.5002081543207169,1.275176279246807,1.3501867055892944,1.3501867055892944,1.2001657783985138,1.1251554265618324,1.1251554265618324,1.1251554265618324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,2,NA,Peru,peru,Province,2,27829,PER,PER.18_1,PER.18.3_1,PE.MD.TP,FALSE,27830,2,Peru,peru,Madre de Dios,madre de dios,Tambopata,tambopata,NA,NA,medium,Provincia,NA,1021.5022628977895,1000.4742154553533,979.7491953969002,987.861445851624,1027.8702022507787,1057.6867876574397,1063.9299204796553,1056.001696884632,1052.2659682705998,1094.7067558690906,1163.1111342906952,1319.2162450030446,1616.747016467154,1894.6910634040833,2302.8791530653834,2935.978499546647,3239.7176551893353,3423.343540608883,3735.8721943944693,4105.1882760971785,4335.355859391391,4395.648676171899,4361.988124251366,4325.909392207861,4276.189270496368,"{""type"":""MultiPoint"",""coordinates"":[]}"
