system:index,ADM_LEVEL,CC_2,COUNTRY,COUNTRY_NO,ENGTYPE_2,FID_TCL_QC,FID_world_,GID_0,GID_1,GID_2,HASC_2,ISDISPUTED,Id,MAX_LEVEL,NAME_0,NAME_0_NOR,NAME_1,NAME_1_NOR,NAME_2,NAME_2_NOR,NL_NAME_1,NL_NAME_2,SIZE,TYPE_2,VARNAME_2,b1,.geo
0,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32607,COD,COD.6_1,COD.6.10_1,NA,FALSE,32608,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,41.30794752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32608,COD,COD.6_1,COD.6.10_1,NA,FALSE,32609,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,430.5498337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32609,COD,COD.6_1,COD.6.10_1,NA,FALSE,32610,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,47.69330708,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32967,COD,COD.6_1,COD.6.10_1,NA,FALSE,32968,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,165.3447748,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32968,COD,COD.6_1,COD.6.10_1,NA,FALSE,32969,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,261.8856203,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,32969,COD,COD.6_1,COD.6.10_1,NA,FALSE,32970,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,431.9084667,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33328,COD,COD.6_1,COD.6.10_1,NA,FALSE,33329,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,56.96698962,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2,NA,Democratic Republic of the Congo,democratic republic of the congo,Territory,0,33329,COD,COD.6_1,COD.6.10_1,NA,FALSE,33330,2,Democratic Republic of the Congo,democratic republic of the congo,Ituri,ituri,Mambasa,mambasa,NA,NA,medium,Territoire,NA,118.5396255,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2,6208,Indonesia,indonesia,Regency,1,31251,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31252,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,24.26689598,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2,6208,Indonesia,indonesia,Regency,1,31252,IDN,IDN.14_1,IDN.14.13_1,ID.KT.SE,FALSE,31253,2,Indonesia,indonesia,Kalimantan Tengah,kalimantan tengah,Seruyan,seruyan,NA,NA,medium,Kabupaten,NA,251.4856559,"{""type"":""MultiPoint"",""coordinates"":[]}"
